"DBLa_type","Ups","2012_freq","2014_freq","2015_freq","2017_freq","2012_freqbin","2014_freqbin","2015_freqbin","2017_freqbin"
"M00123:211:000000000-BYH2N:1:1105:19673:7811","A",532,197,245,484,">20",">20",">20",">20"
"M00123:371:000000000-J9JD5:1:1105:15208:16855","BC",416,134,177,359,">20",">20",">20",">20"
"M03191:489:000000000-JGFWT:1:1115:27517:9263","A",410,154,182,345,">20",">20",">20",">20"
"M00595:42:000000000-A5J1T:1:2112:14087:13702","BC",359,117,152,303,">20",">20",">20",">20"
"M00123:371:000000000-J9JD5:1:1117:13084:14112","BC",292,81,105,258,">20",">20",">20",">20"
"M00123:38:000000000-AN6VN:1:1101:12821:9226","A",274,93,122,223,">20",">20",">20",">20"
"M01896:2:000000000-A69JN:1:2105:7601:13235","BC",230,91,89,163,">20",">20",">20",">20"
"M00123:62:000000000-AU338:1:2108:17489:3241","A",211,69,55,134,">20",">20",">20",">20"
"M00123:51:000000000-APU28:1:2108:28563:13051","A",210,82,79,183,">20",">20",">20",">20"
"M00566:68:000000000-ARD58:1:1103:7201:10291","BC",203,61,68,141,">20",">20",">20",">20"
"M00123:163:000000000-B5J7V:1:2107:11359:13779","BC",203,42,77,151,">20",">20",">20",">20"
"M00123:211:000000000-BYH2N:1:2113:21898:3044","BC",196,52,92,172,">20",">20",">20",">20"
"M00566:68:000000000-ARD58:1:1112:21546:11180","BC",195,62,73,151,">20",">20",">20",">20"
"M00123:51:000000000-APU28:1:1114:24858:20638","BC",192,46,67,132,">20",">20",">20",">20"
"M03191:489:000000000-JGFWT:1:1109:4433:16331","BC",187,57,84,166,">20",">20",">20",">20"
"M00123:371:000000000-J9JD5:1:1119:24713:17205","A",178,54,64,164,">20",">20",">20",">20"
"M00547:373:000000000-JH6MF:1:2111:20576:17220","BC",177,47,62,120,">20",">20",">20",">20"
"M00566:68:000000000-ARD58:1:1119:9923:17310","A",176,53,61,137,">20",">20",">20",">20"
"M00123:115:000000000-AWP2U:1:2102:26051:5422","BC",169,49,51,115,">20",">20",">20",">20"
"M00123:38:000000000-AN6VN:1:1109:6352:8396","BC",167,48,48,116,">20",">20",">20",">20"
"M00595:54:000000000-A7CT0:1:2113:11699:16684","BC",160,49,58,131,">20",">20",">20",">20"
"M00123:51:000000000-APU28:1:2113:3907:7288","BC",146,37,51,97,">20",">20",">20",">20"
"M00123:98:000000000-AWVWT:1:2117:4750:18796","A",146,56,72,132,">20",">20",">20",">20"
"M00566:68:000000000-ARD58:1:1110:8012:15185","A",130,41,47,107,">20",">20",">20",">20"
"M00123:51:000000000-APU28:1:2110:16012:23255","A",129,36,41,82,">20",">20",">20",">20"
"M00123:51:000000000-APU28:1:1104:14387:4281","A",128,37,45,90,">20",">20",">20",">20"
"M00566:160:000000000-B5GTN:1:1116:5659:7899","A",127,44,61,105,">20",">20",">20",">20"
"M00566:66:000000000-ARD83:1:1113:13327:11787","BC",125,43,58,114,">20",">20",">20",">20"
"M00566:68:000000000-ARD58:1:1104:10768:4604","BC",124,43,35,115,">20",">20",">20",">20"
"M03191:488:000000000-JGKWR:1:1113:20845:14197","BC",124,40,45,80,">20",">20",">20",">20"
"M00123:210:000000000-BTDTV:1:2107:5627:14784","BC",120,40,41,80,">20",">20",">20",">20"
"M00123:371:000000000-J9JD5:1:2105:24109:15332","A",120,38,49,90,">20",">20",">20",">20"
"M01896:15:000000000-A7EN9:1:1111:15383:19352","BC",119,37,43,82,">20",">20",">20",">20"
"M00566:113:000000000-AY2J2:1:1111:13388:14711","A",119,27,42,87,">20",">20",">20",">20"
"M00566:68:000000000-ARD58:1:2118:16987:14052","BC",118,43,56,96,">20",">20",">20",">20"
"M00595:42:000000000-A5J1T:1:1109:17835:7911","A",117,32,44,103,">20",">20",">20",">20"
"M00595:54:000000000-A7CT0:1:1109:8610:16168","BC",111,29,35,110,">20",">20",">20",">20"
"M01896:14:000000000-A7ERE:1:1117:20200:5024","BC",110,30,35,78,">20",">20",">20",">20"
"M00123:115:000000000-AWP2U:1:1113:16800:12444","A",109,30,41,90,">20",">20",">20",">20"
"M00123:211:000000000-BYH2N:1:2113:20536:13810","A",107,30,31,85,">20",">20",">20",">20"
"M00566:161:000000000-B5HBJ:1:2112:17731:19057","A",106,34,44,94,">20",">20",">20",">20"
"M00123:62:000000000-AU338:1:1104:8169:12962","BC",106,27,28,66,">20",">20",">20",">20"
"M00123:38:000000000-AN6VN:1:2101:26011:6709","BC",105,27,52,75,">20",">20",">20",">20"
"M00595:54:000000000-A7CT0:1:2102:7160:16851","BC",103,24,43,71,">20",">20",">20",">20"
"M00566:114:000000000-AWM6N:1:2116:20869:7384","BC",99,27,34,79,">20",">20",">20",">20"
"M00123:38:000000000-AN6VN:1:2112:19440:11681","A",95,21,35,58,">20",">20",">20",">20"
"M00566:160:000000000-B5GTN:1:1104:9735:17391","A",94,31,36,79,">20",">20",">20",">20"
"M00547:373:000000000-JH6MF:1:1108:4508:16993","BC",94,18,30,61,">20","11-20",">20",">20"
"M00595:42:000000000-A5J1T:1:1113:14745:7451","A",94,24,40,95,">20",">20",">20",">20"
"M00123:371:000000000-J9JD5:1:2109:12446:24170","A",93,35,40,64,">20",">20",">20",">20"
"M00123:52:000000000-APT1W:1:2102:22724:15267","A",92,31,47,87,">20",">20",">20",">20"
"M01896:14:000000000-A7ERE:1:2109:22656:16384","A",91,24,30,57,">20",">20",">20",">20"
"M00123:210:000000000-BTDTV:1:2104:6229:11002","BC",88,34,44,73,">20",">20",">20",">20"
"M03191:489:000000000-JGFWT:1:1102:12624:16350","A",86,16,35,60,">20","11-20",">20",">20"
"M00123:163:000000000-B5J7V:1:1107:10065:17567","A",82,29,23,51,">20",">20",">20",">20"
"M00123:62:000000000-AU338:1:1115:1928:13393","BC",81,12,28,58,">20","11-20",">20",">20"
"M00123:38:000000000-AN6VN:1:1115:27123:11638","A",81,12,28,54,">20","11-20",">20",">20"
"M00123:371:000000000-J9JD5:1:2103:21338:14573","A",80,21,32,70,">20",">20",">20",">20"
"M03191:489:000000000-JGFWT:1:1111:28872:8550","A",80,26,24,61,">20",">20",">20",">20"
"M00595:54:000000000-A7CT0:1:1103:7809:14014","BC",80,27,30,81,">20",">20",">20",">20"
