"Survey","rep","samplingDepth","meanMOI","method","survey_year"
1,1,0.05,1.94791666666667,"pool",2012
1,2,0.05,1.625,"pool",2012
1,3,0.05,1.3125,"pool",2012
1,4,0.05,1.89583333333333,"pool",2012
1,5,0.05,1.28125,"pool",2012
1,6,0.05,1.5625,"pool",2012
1,7,0.05,1.91666666666667,"pool",2012
1,8,0.05,1.5625,"pool",2012
1,9,0.05,1.63541666666667,"pool",2012
1,10,0.05,1.21875,"pool",2012
1,11,0.05,1.88541666666667,"pool",2012
1,12,0.05,2.0625,"pool",2012
1,13,0.05,1.75,"pool",2012
1,14,0.05,1.98958333333333,"pool",2012
1,15,0.05,1.69791666666667,"pool",2012
1,16,0.05,1.35416666666667,"pool",2012
1,17,0.05,1.44791666666667,"pool",2012
1,18,0.05,1.17708333333333,"pool",2012
1,19,0.05,2.01041666666667,"pool",2012
1,20,0.05,1.38541666666667,"pool",2012
1,21,0.05,1.4375,"pool",2012
1,22,0.05,1.86458333333333,"pool",2012
1,23,0.05,1.77083333333333,"pool",2012
1,24,0.05,1.5,"pool",2012
1,25,0.05,1.17708333333333,"pool",2012
1,26,0.05,1.51041666666667,"pool",2012
1,27,0.05,1.375,"pool",2012
1,28,0.05,1.89583333333333,"pool",2012
1,29,0.05,1.94791666666667,"pool",2012
1,30,0.05,1.8125,"pool",2012
1,31,0.05,1.9375,"pool",2012
1,32,0.05,1.72916666666667,"pool",2012
1,33,0.05,1.88541666666667,"pool",2012
1,34,0.05,1.8125,"pool",2012
1,35,0.05,1.83333333333333,"pool",2012
1,36,0.05,1.71875,"pool",2012
1,37,0.05,1.32291666666667,"pool",2012
1,38,0.05,2.09375,"pool",2012
1,39,0.05,1.83333333333333,"pool",2012
1,40,0.05,1.52083333333333,"pool",2012
1,41,0.05,1.66666666666667,"pool",2012
1,42,0.05,1.41666666666667,"pool",2012
1,43,0.05,1.40625,"pool",2012
1,44,0.05,1.66666666666667,"pool",2012
1,45,0.05,1.1875,"pool",2012
1,46,0.05,1.44791666666667,"pool",2012
1,47,0.05,1.32291666666667,"pool",2012
1,48,0.05,1.61458333333333,"pool",2012
1,49,0.05,1.88541666666667,"pool",2012
1,50,0.05,1.48958333333333,"pool",2012
1,51,0.05,1.44791666666667,"pool",2012
1,52,0.05,1.26041666666667,"pool",2012
1,53,0.05,1.40625,"pool",2012
1,54,0.05,1.59375,"pool",2012
1,55,0.05,1.67708333333333,"pool",2012
1,56,0.05,1.45833333333333,"pool",2012
1,57,0.05,1.5625,"pool",2012
1,58,0.05,1.29166666666667,"pool",2012
1,59,0.05,1.47916666666667,"pool",2012
1,60,0.05,1.48958333333333,"pool",2012
1,61,0.05,1.57291666666667,"pool",2012
1,62,0.05,1.54166666666667,"pool",2012
1,63,0.05,1.79166666666667,"pool",2012
1,64,0.05,1.26041666666667,"pool",2012
1,65,0.05,2.02083333333333,"pool",2012
1,66,0.05,1.8125,"pool",2012
1,67,0.05,1.34375,"pool",2012
