"DBLa_upsBC_rep_size","n","percent","weigth_n","density","weigth_density"
10,3,"0.60%",0.006,0.325,0.001
11,0,"0.00%",0,1.561,0.003
12,1,"0.20%",0.002,2.831,0.006
13,2,"0.40%",0.004,4.106,0.009
14,2,"0.40%",0.004,5.36,0.011
15,5,"1.10%",0.011,6.569,0.014
16,11,"2.30%",0.023,7.712,0.016
17,9,"1.90%",0.019,8.773,0.019
18,10,"2.10%",0.021,9.737,0.021
19,15,"3.20%",0.032,10.593,0.022
20,10,"2.10%",0.021,11.334,0.024
21,23,"4.90%",0.049,11.955,0.025
22,12,"2.60%",0.026,12.455,0.026
23,6,"1.30%",0.013,12.835,0.027
24,11,"2.30%",0.023,13.101,0.028
25,8,"1.70%",0.017,13.26,0.028
26,13,"2.80%",0.028,13.323,0.028
27,12,"2.60%",0.026,13.305,0.028
28,10,"2.10%",0.021,13.223,0.028
29,14,"3.00%",0.03,13.098,0.028
30,12,"2.60%",0.026,12.954,0.027
31,17,"3.60%",0.036,12.817,0.027
32,22,"4.70%",0.047,12.718,0.027
33,12,"2.60%",0.026,12.689,0.027
34,13,"2.80%",0.028,12.768,0.027
35,14,"3.00%",0.03,12.993,0.028
36,11,"2.30%",0.023,13.408,0.028
37,12,"2.60%",0.026,14.058,0.03
38,15,"3.20%",0.032,14.992,0.032
39,13,"2.80%",0.028,16.262,0.034
40,10,"2.10%",0.021,17.924,0.038
41,27,"5.70%",0.057,20.036,0.042
42,21,"4.50%",0.045,22.66,0.048
43,35,"7.40%",0.074,25.859,0.055
44,27,"5.70%",0.057,29.703,0.063
45,32,"6.80%",0.068,34.262,0.073
