"survey_year","age_groups","ParaPos","ParaNeg","total","PosProp","CI_lower","CI_upper"
2012,"Children (1-5 years)",173,183,356,48.5955056179775,43.4035655477439,53.7874456882111
2012,"Children (6-10 years)",243,152,395,61.5189873417721,56.7207098675455,66.3172648159988
2012,"Adolescents (11-20 years)",202,211,413,48.910411622276,44.0892920127266,53.7315312318254
2012,"Adults (>20 years)",190,569,759,25.0329380764163,21.9509827361757,28.114893416657
2014,"Children (1-5 years)",37,179,216,17.1296296296296,12.105014263575,22.1542449956842
2014,"Children (6-10 years)",142,279,421,33.729216152019,29.2129533938723,38.2454789101657
2014,"Adolescents (11-20 years)",162,306,468,34.6153846153846,30.3051043277005,38.9256649030687
2014,"Adults (>20 years)",89,672,761,11.6951379763469,9.41186032379355,13.9784156289003
2015,"Children (1-5 years)",63,342,405,15.5555555555556,12.0257005672624,19.0854105438487
2015,"Children (6-10 years)",167,242,409,40.8312958435208,36.0676767436314,45.5949149434102
2015,"Adolescents (11-20 years)",169,298,467,36.1884368308351,31.8299851577376,40.5468885039326
2015,"Adults (>20 years)",146,595,741,19.7031039136302,16.8391655295933,22.5670422976671
2017,"Children (1-5 years)",49,305,354,13.8418079096045,10.2443216984017,17.4392941208073
2017,"Children (6-10 years)",184,174,358,51.3966480446927,46.2192081356846,56.5740879537008
2017,"Adolescents (11-20 years)",304,185,489,62.1676891615542,57.8692039327733,66.4661743903351
2017,"Adults (>20 years)",252,462,714,35.2941176470588,31.7887787513944,38.7994565427233
