"survey_year","age_groups","ParaPos","ParaNeg","total","PosProp","CI_lower","CI_upper","census_CI_lower","census_pop_size","census_CI_upper"
2012,"Adolescents (11-20 years)",167,211,378,44.1798941798942,39.1735830686629,49.1862052911254,579,683,792
2012,"Adults (>20 years)",143,569,712,20.0842696629213,17.1414731494613,23.0270661763814,278,338,401
2012,"Children (1-5 years)",158,183,341,46.3343108504399,41.0415948473972,51.6270268534826,402,495,595
2012,"Children (6-10 years)",217,152,369,58.8075880758808,53.7856866586428,63.8294894931187,908,1035,1166
2014,"Adolescents (11-20 years)",112,306,418,26.7942583732057,22.5484403792492,31.0400763671623,200,256,315
2014,"Adults (>20 years)",45,672,717,6.27615062761506,4.50086502391318,8.05143623131695,48,76,111
2014,"Children (1-5 years)",28,179,207,13.5265700483092,8.86742657449764,18.1857135221207,43,80,125
2014,"Children (6-10 years)",116,279,395,29.3670886075949,24.8755873649962,33.8585898501936,247,318,397
2015,"Adolescents (11-20 years)",129,298,427,30.2107728337237,25.8554811499361,34.5660645175113,250,313,382
2015,"Adults (>20 years)",87,595,682,12.7565982404692,10.2528098662817,15.2603866146568,119,155,195
2015,"Children (1-5 years)",51,342,393,12.9770992366412,9.65459619749982,16.2996022757826,39,62,88
2015,"Children (6-10 years)",146,242,388,37.6288659793814,32.8083603557548,42.4493716030081,311,378,452
2017,"Adolescents (11-20 years)",284,185,469,60.5543710021322,56.1311173831608,64.9776246211036,734,827,921
2017,"Adults (>20 years)",202,462,664,30.421686746988,26.9222300421496,33.9211434518263,365,420,478
2017,"Children (1-5 years)",44,305,349,12.6074498567335,9.12492528928832,16.0899744241787,54,90,132
2017,"Children (6-10 years)",170,174,344,49.4186046511628,44.1351559832656,54.70205331906,642,750,861
